record_id,platform,category,product_id,product_name,listing_description,price_text,price_currency,price_min,price_max,min_order_text,min_order_quantity,min_order_unit,supplier_name,supplier_meta,rating_text,review_text,selling_points,badges_text,is_ad,source_url,image_url,captured_at,search_query,source_language
ali-1601514610024,Alibaba.com,桌面照明,1601514610024,触摸无线台灯复古酒吧USB充电发光二极管台灯便携式餐厅装饰夜灯,触摸无线台灯复古酒吧USB充电发光二极管台灯便携式餐厅装饰夜灯,US$1.62-2.65,USD,1.62,2.65,最低起订量：1 piece,1,piece,"Guangzhou Jiguang Lighting Co., Ltd.",12年 / CN,4.5,4.5/5.0 / (31),,,False,https://www.alibaba.com/product-detail/Touch-Wireless-Table-Lamp-Retro-Bar_1601514610024.html,https://s.alicdn.com/@sc04/kf/H65350a91103042db8f8ed42eb259d321s.jpg_300x300.jpg,2026-09-08T05:39:18.296000+00:00,desk lamp,zh-CN
ali-11000031098174,Alibaba.com,桌面照明,11000031098174,多场景婚礼台灯，触摸开关，USB充电，灵活的电池容量，接受小批量订单，快速发货,"多场景婚礼台灯，触摸开关，USB充电，灵活的电池容量，接受小批量订单，快速发货；满 US$2,000 立减 5%；无忧退",US$4.89-6.85,USD,4.89,6.85,最低起订量：2 sets,2,sets,"Yuyao Qianyi Technology Co., Ltd.",1年 / CN,4.4,4.4/5.0 / (18),"满 US$2,000 立减 5% | 无忧退",认证,False,https://www.alibaba.com/product-detail/Multi-scene-Wedding-Table-Lamp-Touch_11000031098174.html,https://s.alicdn.com/@sc04/kf/Ad3181e8c704447b28e16008d2af342482.png_300x300.png,2026-09-08T05:39:18.296000+00:00,desk lamp,zh-CN
ali-1601560122939,Alibaba.com,桌面照明,1601560122939,EGH Leeslamp En Boekenlamp Tafellampje Bureaulamp发光二极管Voor Kantoor & Nachtlezen桌上台灯为荷兰,EGH Leeslamp En Boekenlamp Tafellampje Bureaulamp发光二极管Voor Kantoor & Nachtlezen桌上台灯为荷兰；180 天内底价；10月09日前到货；退款保证,US$1.57,USD,1.57,1.57,最低起订量：2 pieces,2,pieces,"Shenzhen Shengyihe Industry Co., Ltd.",8年 / CN,4.8,4.8/5.0 / (85),180 天内底价 | 10月09日前到货 | 退款保证,认证,False,https://www.alibaba.com/product-detail/EGH-Leeslamp-En-Boekenlamp-Tafellampje-Bureaulamp_1601560122939.html,https://s.alicdn.com/@sc04/kf/H60fa5355310048cebd40ec2216ee512e4.png_300x300.png,2026-09-08T05:39:18.297000+00:00,desk lamp,zh-CN
ali-1601707491652,Alibaba.com,桌面照明,1601707491652,Senya-Pro 经典布艺灯罩台灯触摸式调光USB可充电无绳LED夜灯适用于卧室床头酒店,Senya-Pro 经典布艺灯罩台灯触摸式调光USB可充电无绳LED夜灯适用于卧室床头酒店；3 天内发货；退款保证,US$5.50-6.99,USD,5.50,6.99,最低起订量：1 piece,1,piece,"Fuzhou Senya-Pro Technology Co., Ltd.",4年 / CN,4.9,4.9/5.0 / (105),3 天内发货 | 退款保证,,False,https://www.alibaba.com/product-detail/Senya-Pro-Classic-Fabric-Shade-Table_1601707491652.html,https://s.alicdn.com/@sc04/kf/Hcf9a7391461e45d1b7a597077fd720ebo.png_300x300.png,2026-09-08T05:39:18.297000+00:00,desk lamp,zh-CN
ali-1601520736616,Alibaba.com,桌面照明,1601520736616,便携式无绳台灯织物灯罩台灯5200毫安时充电电池供电照明可调光灯,"便携式无绳台灯织物灯罩台灯5200毫安时充电电池供电照明可调光灯；满 US$2,000 立减 5%",US$3.99-9.99,USD,3.99,9.99,最低起订量：5 pieces,5,pieces,"Jiangmen Lingmeng Technology Co., Ltd.",4年 / CN,4.9,4.9/5.0 / (34),"满 US$2,000 立减 5%",认证,False,https://www.alibaba.com/product-detail/Portables-Cordless-Table-Lamp-Fabric-Shade_1601520736616.html,https://s.alicdn.com/@sc04/kf/H62f00ec89be84c60a94632caf61f400eE.jpg_300x300.jpg,2026-09-08T05:39:18.297000+00:00,desk lamp,zh-CN
ali-1601762238764,Alibaba.com,桌面照明,1601762238764,批发可定制褶皱布艺无绳LED台灯便携式可充电台灯适用于婚礼酒店餐厅,批发可定制褶皱布艺无绳LED台灯便携式可充电台灯适用于婚礼酒店餐厅；180 天内底价；10月25日前到货；退款保证,US$3.51,USD,3.51,3.51,最低起订量：20 pieces,20,pieces,"Zhongshan Qingyang Lighting Engineering Co., Ltd.",6年 / CN,4.9,4.9/5.0 / (53),180 天内底价 | 10月25日前到货 | 退款保证,认证,False,https://www.alibaba.com/product-detail/Wholesale-Customizable-Pleated-Fabric-Cordless-LED_1601762238764.html,https://s.alicdn.com/@sc04/kf/H3f16c6afdd5647348c2baec06267950fH.jpg_300x300.jpg,2026-09-08T05:39:18.297000+00:00,desk lamp,zh-CN
ali-1601696841125,Alibaba.com,桌面照明,1601696841125,2700K 可充电 LED 台灯定制灯罩古典餐厅客厅无绳台灯,2700K 可充电 LED 台灯定制灯罩古典餐厅客厅无绳台灯；无忧退；复购率 23%,US$18.30-21.80,USD,18.30,21.80,最低起订量：30 pieces,30,pieces,"Zhongshan Rebecca Lighting Co., Ltd.",5年 / CN,4.9,4.9/5.0 / (82),无忧退 | 复购率 23%,认证,False,https://www.alibaba.com/product-detail/2700K-Rechargeable-LED-Table-Lamp-Customization_1601696841125.html,https://s.alicdn.com/@sc04/kf/Hfdeb64efb9044526866413ec21d0aaa3N.jpg_300x300.jpg,2026-09-08T05:39:18.297000+00:00,desk lamp,zh-CN
ali-1601210554608,Alibaba.com,桌面照明,1601210554608,餐厅无线充电底座发光二极管铝合金充电书桌触摸调光金属台灯带充电站,"餐厅无线充电底座发光二极管铝合金充电书桌触摸调光金属台灯带充电站；满 US$2,000 立减 5%；无忧退；复购率 15%",US$1.95-6.98,USD,1.95,6.98,最低起订量：2 pieces,2,pieces,"Hangzhou Delta Art Light Co., Ltd.",8年 / CN,4.9,4.9/5.0 / (41),"满 US$2,000 立减 5% | 无忧退 | 复购率 15%",认证,False,https://www.alibaba.com/product-detail/Restaurant-Wireless-Charging-Base-LED-Aluminum_1601210554608.html,https://s.alicdn.com/@sc04/kf/H63b342d203ed41a1a486f61a71fc4651d.png_300x300.png,2026-09-08T05:39:18.297000+00:00,desk lamp,zh-CN
ali-1601255818846,Alibaba.com,桌面照明,1601255818846,工厂批发豪华金属复古无绳台灯餐厅酒吧卧室触摸控制LED充电台灯,工厂批发豪华金属复古无绳台灯餐厅酒吧卧室触摸控制LED充电台灯；无忧退,US$3.70-4.70,USD,3.70,4.70,最低起订量：50 pieces,50,pieces,"Zhongshan Huatian Photolectric Co., Ltd.",3年 / CN,4.6,4.6/5.0 / (77),无忧退,认证,False,https://www.alibaba.com/product-detail/Factory-Wholesale-Luxury-Metal-Retro-Cordless_1601255818846.html,https://s.alicdn.com/@sc04/kf/Hff372fa29e5f4bada7f354c05bc8b681n.jpg_300x300.jpg,2026-09-08T05:39:18.297000+00:00,desk lamp,zh-CN
ali-1601699093277,Alibaba.com,桌面照明,1601699093277,现代婚礼台灯触摸控制可调光亮度色温可调护眼灯适合书房办公室,现代婚礼台灯触摸控制可调光亮度色温可调护眼灯适合书房办公室；24 小时内发货；退款保证,US$3-4,USD,3,4,最低起订量：1 piece,1,piece,"NINGBO HAISHU SELDORAUK ELECTRICAL CO., LTD.",11年 / CN,4.7,4.7/5.0 / (122),24 小时内发货 | 退款保证,,False,https://www.alibaba.com/product-detail/Modern-Wedding-Desk-Lamp-Touch-Control_1601699093277.html,https://s.alicdn.com/@sc04/kf/Hd65346f120ba4bbf84a011a068c5da0fX.jpg_300x300.jpg,2026-09-08T05:39:18.297000+00:00,desk lamp,zh-CN
